,RELIANCE.NS,TCS.NS,INFY.NS,HDFCBANK.NS,ICICIBANK.NS,LT.NS,SBIN.NS,BHARTIARTL.NS,HINDUNILVR.NS,KOTAKBANK.NS,ITC.NS,BAJFINANCE.NS,ADANIENT.NS,ASIANPAINT.NS,MARUTI.NS,WIPRO.NS,HCLTECH.NS,AXISBANK.NS,SUNPHARMA.NS,TITAN.NS,Gold,Silver,Platinum,FD_Rate,RELIANCE.NS_ROI,TCS.NS_ROI,INFY.NS_ROI,HDFCBANK.NS_ROI,ICICIBANK.NS_ROI,LT.NS_ROI,SBIN.NS_ROI,BHARTIARTL.NS_ROI,HINDUNILVR.NS_ROI,KOTAKBANK.NS_ROI,ITC.NS_ROI,BAJFINANCE.NS_ROI,ADANIENT.NS_ROI,ASIANPAINT.NS_ROI,MARUTI.NS_ROI,WIPRO.NS_ROI,HCLTECH.NS_ROI,AXISBANK.NS_ROI,SUNPHARMA.NS_ROI,TITAN.NS_ROI,Gold_ROI,Silver_ROI,Platinum_ROI,FD_Rate_ROI
2024-07-16,1564.669189453125,4018.830322265625,1657.563720703125,799.073974609375,1219.9041748046875,3602.94775390625,863.364013671875,1446.281982421875,2629.871826171875,1801.246826171875,450.0240478515625,701.5808715820312,3107.7109375,2942.21484375,12387.2109375,269.10430908203125,1490.781494140625,1302.886474609375,1564.6884765625,3224.346435546875,2462.39990234375,31.19499969482422,1000.0,5.534704487186627,-0.01313216821093699,0.0022187333006711274,0.011130298027669294,-0.0014487047615358017,0.008089771486854191,-0.004121468013258078,-0.000737507096033263,0.020102963057162304,0.02600845136559604,-0.020748046166644163,0.0046397109744087395,-0.0006583046672601345,0.006115726217492012,0.006071334296051223,-0.0003479413809797105,0.0,-3.185164241892302e-05,-0.002638699455140947,-0.004349876743135472,0.0030550560208792987,0.016302778320222977,0.017051343072634673,0.001502253380070151,0.021198350065450455
2024-07-17,1564.669189453125,4018.830322265625,1657.563720703125,799.073974609375,1219.9041748046875,3602.94775390625,863.364013671875,1446.281982421875,2629.871826171875,1801.246826171875,450.0240478515625,701.5808715820312,3107.7109375,2942.21484375,12387.2109375,269.10430908203125,1490.781494140625,1302.886474609375,1564.6884765625,3224.346435546875,2454.800048828125,30.136999130249023,996.9000244140625,5.467626527334271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030863603870319167,-0.033915710047297654,-0.0030999755859375533,-0.012119519661374478
2024-07-18,1575.0177001953125,4150.6923828125,1688.2939453125,796.6319580078125,1230.136474609375,3622.416015625,875.9610595703125,1463.1956787109375,2678.7333984375,1822.6485595703125,454.5672912597656,706.6396484375,3090.61962890625,2899.77978515625,12391.6201171875,275.59515380859375,1514.52685546875,1308.281982421875,1579.5,3252.312255859375,2451.800048828125,29.9950008392334,974.7000122070312,5.518882024412249,0.006613864970271832,0.0328110544544058,0.018539392619150385,-0.0030560582363557964,0.008387789808429691,0.005403426041258319,0.014590654346203769,0.011694604852049428,0.01857945006268591,0.011881621711957058,0.010095556959439866,0.00721053988268161,-0.00549964553894422,-0.014422827987525366,0.00035594612134626225,0.024120181310749222,0.01592812992477688,0.0041411956587527055,0.009466116520548518,0.008673329889180126,-0.001222095462085404,-0.004711759468881471,-0.02226904570503896,0.009374359572976942
2024-07-19,1543.7242431640625,4147.65576171875,1721.8092041015625,792.9320068359375,1228.51318359375,3585.064453125,871.84375,1441.5975341796875,2667.581787109375,1819.502197265625,458.723876953125,688.9786376953125,3004.163818359375,2914.122802734375,12274.26171875,267.9023132324219,1514.52685546875,1291.2464599609375,1554.136962890625,3249.2216796875,2395.5,29.08799934387207,962.5,5.382265853287957,-0.019868638319029297,-0.0007315938676458744,0.01985155421667928,-0.004644492522152488,-0.001319602376752882,-0.010311229394660115,-0.00470033402207648,-0.01476094062161104,-0.0041630164967628724,-0.0017262583552746236,0.00914404923821066,-0.024992951897390703,-0.02797361724434244,0.004946243729108568,-0.009470787300420946,-0.027913555336008256,0.0,-0.013021292572875987,-0.016057636663105446,-0.0009502704318464783,-0.02296274072391602,-0.030238422069819415,-0.012516684163578207,-0.02475431990029553
2024-07-22,1489.6495361328125,4133.14697265625,1738.9990234375,810.3218994140625,1221.134033203125,3617.7099609375,859.540771484375,1445.1971435546875,2675.700927734375,1755.5260009765625,450.99066162109375,684.203125,2999.31640625,2902.5,12388.8759765625,243.1891326904297,1497.9525146484375,1281.4049072265625,1572.6639404296875,3244.68505859375,2392.0,29.124000549316406,945.4000244140625,5.242929152233441,-0.03502873474372403,-0.0034980697280643236,0.009983579652721897,0.021931127042678522,-0.006006569965361641,0.009105975147544187,-0.014111448887056843,0.002496958609913502,0.0030436332502472574,-0.03516137347083548,-0.016858105105397536,-0.006931292835561598,-0.0016135645066194249,-0.003988439582391368,0.009337772033768621,-0.09224698452137658,-0.010943576708768665,-0.007621746149586883,0.011921071296446817,-0.0013962177841267964,-0.001461072844917588,0.0012376652315870817,-0.017766208400973982,-0.02588811196856744
2024-07-23,1476.96826171875,4147.60791015625,1764.015380859375,798.407958984375,1206.96630859375,3505.35791015625,846.8947143554688,1445.4930419921875,2706.07470703125,1766.8629150390625,475.7852783203125,668.5845336914062,2993.8193359375,2865.703125,12376.919921875,240.66493225097656,1529.7760009765625,1262.1712646484375,1586.7821044921875,3456.447998046875,2404.60009765625,29.131999969482422,945.0,5.439546103420081,-0.008512924756103102,0.003498771661319955,0.014385492507307474,-0.014702725470337574,-0.011602104457126616,-0.03105612445286654,-0.014712573909748672,0.00020474607137144218,0.01135170937156782,0.0064578445754681635,0.0549781155336877,-0.022827418843773595,-0.0018327743952072373,-0.012677648578811374,-0.0009650637160399933,-0.010379577456967715,0.021244656300466014,-0.015009808741683228,0.008977228827820927,0.06526455900311734,0.005267599354619623,0.00027466762859273963,-0.00042312714589831657,0.03750135572648028
2024-07-24,1484.7109375,4151.3671875,1761.182373046875,791.3286743164062,1203.2767333984375,3486.9296875,835.2289428710938,1435.1376953125,2657.8486328125,1744.18896484375,477.5735778808594,656.6630859375,2969.181884765625,2881.23291015625,12237.951171875,240.44857788085938,1515.7545166015625,1238.1917724609375,1604.4669189453125,3467.963134765625,2413.300048828125,29.115999221801758,958.7999877929688,5.578147213420959,0.005242276345356123,0.0009063724019198194,-0.0016059994959453094,-0.008866751124292471,-0.0030568999060224256,-0.0052571586492942135,-0.013774760057692959,-0.007163885524772762,-0.017821412725023134,-0.012832885903211855,0.003758627351523325,-0.017830875757901876,-0.008229438188246507,0.005419188408167797,-0.011228056000781472,-0.0008989858559516062,-0.009165710774681424,-0.018998604119052853,0.011145080602471547,0.0033314942754112398,0.0036180449216294264,-0.0005492498866341844,0.01460316168568121,0.02548027121485985
2024-07-25,1481.435302734375,4167.03271484375,1752.4434814453125,797.5199584960938,1178.58154296875,3585.70849609375,831.7978515625,1429.1712646484375,2648.213134765625,1773.105712890625,473.6103210449219,660.6981811523438,2971.98046875,2869.95654296875,12259.4638671875,243.69398498535156,1519.4871826171875,1174.8958740234375,1650.38818359375,3395.5810546875,2351.89990234375,27.80699920654297,934.9000244140625,5.515289080558886,-0.0022062441131743826,0.003773582686426691,-0.004961945869605855,0.007823909812235685,-0.020523284248952778,0.028328305256011932,-0.004107965053030127,-0.0041573924812582375,-0.0036252997736289094,0.016578907807426324,-0.008298735565572257,0.006144848555150517,0.0009425438026327004,-0.003913729829945756,0.0017578673922102883,0.013497302138756107,0.0024625795105621684,-0.051119624476019365,0.028620885919308003,-0.020871640575561345,-0.02544240054782676,-0.0449581003656101,-0.024926954196068385,-0.011268640008430864
2024-07-26,1497.9381103515625,4230.03271484375,1804.3489990234375,798.2846069335938,1187.7314453125,3645.89697265625,845.4732666015625,1493.5216064453125,2651.9794921875,1811.7611083984375,485.4517822265625,674.81103515625,3078.92578125,2918.177978515625,12410.8779296875,252.32435607910156,1565.188720703125,1176.3446044921875,1698.389892578125,3483.666015625,2380.0,27.860000610351562,934.0999755859375,5.654702153794488,0.011139742374659978,0.015118671801059413,0.029618939570773772,0.000958782823369031,0.007763486878219927,0.01678565801655907,0.0164407914896314,0.04502633336439543,0.001422225942629085,0.021800953675116252,0.02500254039125438,0.021360515900454846,0.03598452736298796,0.01680214833392335,0.01235078989916194,0.03541478914331342,0.030076948728991804,0.0012330713732007226,0.02908510219689675,0.02594105677904568,0.011947828914082192,0.001906045431760317,-0.0008557586985051824,0.025277564094876803
2024-07-29,1508.931640625,4223.525390625,1796.8585205078125,791.822021484375,1193.1427001953125,3740.06884765625,854.443115234375,1460.92724609375,2652.517333984375,1791.8341064453125,479.5068664550781,677.0671997070312,3087.771240234375,2922.6787109375,12496.9736328125,252.13206481933594,1562.3173828125,1169.0509033203125,1707.3065185546875,3401.46337890625,2377.300048828125,27.702999114990234,949.0,5.400355535321988,0.007339108470147293,-0.0015383626220939473,-0.004151346840150727,-0.008095590711742706,0.00455595825484667,0.025829549135995,0.010609263458875917,-0.02182382913705505,0.00020280767572278258,-0.010998691748461353,-0.012246150882828322,0.003343401979576166,0.002872904257141151,0.0015423090897850322,0.006937116263069143,-0.0007620796610904312,-0.0018344994776956502,-0.00620030996361276,0.005250046538505471,-0.02359658944056442,-0.0011344332654936728,-0.005635373005088651,0.015951209510219888,-0.04497966675430021
